date,net_value,cumulative_net_value,daily_growth_rate,purchase_status,redemption_status,dividend
2026-07-14,1.2538,1.2538,0.04019999999999999,开放申购,开放赎回,
2026-07-13,1.2054,1.2054,-0.0276,开放申购,开放赎回,
2026-07-10,1.2396,1.2396,0.0167,开放申购,开放赎回,
2026-07-09,1.2192,1.2192,-0.004,开放申购,开放赎回,
2026-07-08,1.2241,1.2241,0.0011,开放申购,开放赎回,
2026-07-07,1.2227,1.2227,-0.0331,开放申购,开放赎回,
2026-07-06,1.2646,1.2646,-0.0056999999999999,开放申购,开放赎回,
2026-07-03,1.2719,1.2719,0.0617999999999999,开放申购,开放赎回,
2026-07-02,1.1979,1.1979,0.0395999999999999,开放申购,开放赎回,
2026-07-01,1.1523,1.1523,0.0003,暂停申购,暂停赎回,
2026-06-30,1.152,1.152,-0.018,开放申购,开放赎回,
2026-06-29,1.1731,1.1731,0.0139999999999999,开放申购,开放赎回,
2026-06-26,1.1569,1.1569,-0.0245,开放申购,开放赎回,
2026-06-25,1.186,1.186,-0.0432,开放申购,开放赎回,
2026-06-24,1.2395,1.2395,-0.0040999999999999,开放申购,开放赎回,
2026-06-23,1.2446,1.2446,-0.0733,开放申购,开放赎回,
2026-06-22,1.3431,1.3431,0.0124,开放申购,开放赎回,
2026-06-18,1.3266,1.3266,-0.0256,开放申购,开放赎回,
2026-06-17,1.3615,1.3615,0.0004,开放申购,开放赎回,
2026-06-16,1.3609,1.3609,-0.0097,开放申购,开放赎回,
2026-06-15,1.3742,1.3742,0.0571,开放申购,开放赎回,
2026-06-12,1.3,1.3,0.0537,开放申购,开放赎回,
2026-06-11,1.2338,1.2338,0.0039,开放申购,开放赎回,
2026-06-10,1.229,1.229,-0.024,开放申购,开放赎回,
2026-06-09,1.2592,1.2592,0.0107,开放申购,开放赎回,
2026-06-08,1.2459,1.2459,-0.0554,开放申购,开放赎回,
2026-06-05,1.319,1.319,-0.0182,开放申购,开放赎回,
2026-06-04,1.3435,1.3435,-0.0263,开放申购,开放赎回,
2026-06-03,1.3798,1.3798,-0.0098,开放申购,开放赎回,
2026-06-02,1.3934,1.3934,0.0218,开放申购,开放赎回,
2026-06-01,1.3637,1.3637,0.0055,开放申购,开放赎回,
2026-05-29,1.3563,1.3563,-0.0043,开放申购,开放赎回,
2026-05-28,1.3621,1.3621,-0.0301,开放申购,开放赎回,
2026-05-27,1.4043,1.4043,-0.0395,开放申购,开放赎回,
2026-05-26,1.462,1.462,0.0326,开放申购,开放赎回,
2026-05-25,1.4159,1.4159,0.0089,暂停申购,暂停赎回,
2026-05-22,1.4034,1.4034,0.024,开放申购,开放赎回,
2026-05-21,1.3705,1.3705,-0.0208,开放申购,开放赎回,
2026-05-20,1.3996,1.3996,-0.0155,开放申购,开放赎回,
2026-05-19,1.4216,1.4216,-0.0127,开放申购,开放赎回,
2026-05-18,1.4399,1.4399,-0.0171,开放申购,开放赎回,
2026-05-15,1.4649,1.4649,-0.047,开放申购,开放赎回,
2026-05-14,1.5371,1.5371,-0.0331,开放申购,开放赎回,
2026-05-13,1.5897,1.5897,-0.0034,开放申购,开放赎回,
2026-05-12,1.5952,1.5952,-0.0051,开放申购,开放赎回,
