date,fund_code,名称,评分,持续天数,风险预警,回撤%,RSI,BIAS,price
2026-06-24,021031,未知品种,1,41,正常,-38.29,37.73,0.59,1.3718
2026-06-24,016708,未知品种,1,2,正常,-24.14,36.02,-2.72,1.8002
2026-06-24,011068,未知品种,3,2,✅高胜率区,-24.84,28.82,-2.99,5.245
2026-06-24,015290,未知品种,3,2,✅高胜率区,-21.91,0.0,-3.04,1.4917
2026-06-24,020635,未知品种,1,41,正常,-33.79,49.63,1.95,1.3288
2026-06-24,011117,未知品种,1,13,正常,-21.94,39.07,-0.11,2.0678
2026-06-24,002207,未知品种,1,69,正常,-38.44,32.31,-3.37,2.441
2026-06-24,012729,未知品种,1,31,正常,-35.41,42.9,0.22,1.1411
2026-06-24,009478,未知品种,3,20,✅高胜率区,-27.16,7.94,-2.68,1.9848
2026-06-23,010655,未知品种,1,27,正常,-27.42,50.31,1.2,0.8702
2026-06-24,014662,未知品种,3,26,✅高胜率区,-28.36,8.59,-2.84,1.9925
2026-06-24,019599,未知品种,1,41,正常,-34.18,47.61,1.65,0.9409
2026-06-24,004815,未知品种,3,2,✅高胜率区,-22.07,17.0,-3.58,1.7905
2026-06-24,009034,未知品种,3,21,✅高胜率区,-27.98,8.79,-2.85,2.0655
2026-06-24,009505,未知品种,3,20,✅高胜率区,-27.87,8.6,-2.82,1.8796
2026-06-24,010827,未知品种,3,27,✅高胜率区,-34.86,6.39,-4.44,1.9652
2026-06-24,004235,未知品种,3,6,✅高胜率区,-25.72,10.84,-2.47,3.8397
2026-06-24,016068,未知品种,1,19,正常,-23.94,44.69,-0.42,1.2127
2026-06-24,008987,未知品种,3,21,✅高胜率区,-28.15,8.29,-2.87,1.8809
2026-06-24,018558,未知品种,1,41,正常,-34.13,47.54,1.71,1.0009
2026-06-24,018168,未知品种,1,2,正常,-22.01,40.53,-2.33,1.8731
2026-06-24,001301,未知品种,3,24,✅高胜率区,-31.29,19.64,-3.73,2.648
2026-06-24,021674,未知品种,5,51,🔥极高胜率(背离),-41.01,10.12,-5.58,1.2395
2026-06-24,004433,未知品种,1,2,正常,-22.35,36.45,-2.91,1.8835
2026-06-24,020398,未知品种,1,31,正常,-38.35,43.86,1.35,1.2562
2026-06-23,006328,未知品种,5,82,🔥极高胜率(背离),-41.36,0.0,-5.18,0.7634
2026-06-23,011584,未知品种,5,27,🔥极高胜率(背离),-31.41,23.35,-3.96,0.9329
