date,fund_code,名称,评分,持续天数,风险预警,回撤%,RSI,BIAS,price
2026-06-04,008987,未知品种,1,8,正常,-21.59,45.05,-0.26,2.0525
2026-06-04,004433,未知品种,1,7,正常,-22.67,40.49,-0.9,1.8756
2026-06-04,019599,未知品种,3,28,✅高胜率区,-32.9,26.04,-2.99,0.9592
2026-06-03,006328,未知品种,1,69,正常,-31.88,52.41,1.92,0.8869
2026-06-04,016068,未知品种,3,6,✅高胜率区,-26.86,0.0,-3.75,1.1661
2026-06-04,011068,未知品种,1,7,正常,-23.13,35.11,-0.61,5.364
2026-06-04,002207,未知品种,3,56,✅高胜率区,-36.09,27.56,-1.74,2.534
2026-06-04,014662,未知品种,1,13,正常,-21.9,45.15,-0.25,2.172
2026-06-04,020635,未知品种,3,28,✅高胜率区,-32.54,25.44,-3.32,1.3539
2026-06-03,011584,未知品种,3,14,✅高胜率区,-24.32,29.65,-0.3,1.0293
2026-06-04,001301,未知品种,1,11,正常,-24.6,47.03,-0.8,2.906
2026-06-04,021031,未知品种,3,28,✅高胜率区,-36.2,25.66,-3.63,1.4183
2026-06-04,018168,未知品种,1,7,正常,-23.39,42.52,-0.8,1.84
2026-06-04,012729,未知品种,3,18,✅高胜率区,-32.53,23.54,-2.34,1.1921
2026-06-04,009478,未知品种,1,7,正常,-21.0,45.45,-0.24,2.1528
2026-06-04,016708,未知品种,1,7,正常,-23.86,37.77,-1.26,1.8067
2026-06-04,009034,未知品种,1,8,正常,-21.5,45.04,-0.25,2.2511
2026-06-04,021674,未知品种,3,38,✅高胜率区,-36.06,27.48,-1.68,1.3435
2026-06-04,010655,未知品种,3,15,✅高胜率区,-28.81,27.38,-3.64,0.8535
2026-06-04,010827,未知品种,3,14,✅高胜率区,-27.25,36.75,-1.18,2.1948
2026-06-04,018558,未知品种,3,28,✅高胜率区,-32.65,25.57,-3.02,1.0233
2026-06-04,009505,未知品种,1,7,正常,-21.4,45.27,-0.25,2.048
2026-06-04,020398,未知品种,5,18,🔥极高胜率(背离),-37.05,21.78,-5.81,1.2827
