date,fund_code,名称,评分,持续天数,风险预警,回撤%,RSI,BIAS,price
2026-06-18,021031,未知品种,1,38,正常,-38.07,49.81,-0.2,1.3768
2026-06-18,016708,未知品种,1,17,🚩高风险(陷阱),-21.96,87.01,1.3,1.8519
2026-06-18,011068,未知品种,1,3,🚩高风险(陷阱),-22.41,69.74,-0.67,5.414
2026-06-18,020635,未知品种,1,38,正常,-34.69,52.25,0.08,1.3108
2026-06-18,011117,未知品种,1,10,🚩高风险(陷阱),-21.35,70.85,0.8,2.0835
2026-06-18,002207,未知品种,1,66,🚩高风险(陷阱),-36.29,81.64,1.07,2.526
2026-06-18,012729,未知品种,5,28,🔥极高胜率(背离),-36.45,23.25,-1.13,1.1228
2026-06-18,009478,未知品种,1,17,🚩高风险(陷阱),-24.0,61.96,1.01,2.0709
2026-06-18,010655,未知品种,1,25,🚩高风险(陷阱),-28.13,56.84,0.37,0.8616
2026-06-18,014662,未知品种,1,23,🚩高风险(陷阱),-25.05,62.08,1.09,2.0844
2026-06-18,019599,未知品种,1,38,正常,-34.86,51.04,-0.02,0.9312
2026-06-18,009034,未知品种,1,18,🚩高风险(陷阱),-24.65,62.19,1.09,2.161
2026-06-18,009505,未知品种,1,17,🚩高风险(陷阱),-24.57,62.17,1.11,1.9656
2026-06-18,010827,未知品种,1,24,正常,-31.96,53.16,-2.74,2.0528
2026-06-18,004235,未知品种,3,3,✅高胜率区,-24.38,17.82,-3.77,3.909
2026-06-18,016068,未知品种,1,16,🚩高风险(陷阱),-23.6,83.98,0.2,1.2181
2026-06-18,008987,未知品种,1,18,🚩高风险(陷阱),-24.8,62.04,1.1,1.9685
2026-06-18,018558,未知品种,1,38,正常,-34.88,50.28,-0.1,0.9894
2026-06-18,018168,未知品种,1,3,🚩高风险(陷阱),-20.29,94.19,1.94,1.9143
2026-06-18,001301,未知品种,1,21,正常,-28.88,53.04,-2.21,2.741
2026-06-18,021674,未知品种,1,48,🚩高风险(陷阱),-36.86,75.15,0.03,1.3266
2026-06-18,020398,未知品种,1,28,正常,-38.55,54.05,0.05,1.252
2026-06-17,006328,未知品种,3,79,✅高胜率区,-37.31,24.83,-1.87,0.8162
2026-06-17,011584,未知品种,1,24,🚩高风险(陷阱),-27.82,57.97,0.27,0.9817
