date,fund_code,名称,评分,持续天数,风险预警,回撤%,RSI,BIAS,price
2026-06-22,021031,未知品种,3,39,✅高胜率区,-39.36,45.03,-2.11,1.348
2026-06-22,020635,未知品种,1,39,正常,-35.59,49.0,-1.27,1.2927
2026-06-22,011117,未知品种,1,11,🚩高风险(陷阱),-21.61,70.34,0.0,2.0766
2026-06-22,002207,未知品种,1,67,🚩高风险(陷阱),-33.57,85.13,3.27,2.634
2026-06-22,012729,未知品种,1,29,🚩高风险(陷阱),-34.28,65.76,1.81,1.1611
2026-06-22,009478,未知品种,1,18,🚩高风险(陷阱),-25.55,65.59,-1.43,2.0287
2026-06-22,010655,未知品种,1,26,🚩高风险(陷阱),-28.68,55.59,-0.54,0.8551
2026-06-22,014662,未知品种,1,24,🚩高风险(陷阱),-26.68,65.44,-1.5,2.0391
2026-06-22,019599,未知品种,1,39,正常,-35.81,47.77,-1.4,0.9177
2026-06-22,009034,未知品种,1,19,🚩高风险(陷阱),-26.29,65.36,-1.51,2.1138
2026-06-18,009505,未知品种,1,17,🚩高风险(陷阱),-24.57,62.17,1.11,1.9656
2026-06-22,010827,未知品种,1,25,正常,-31.5,50.71,-2.1,2.0668
2026-06-22,004235,未知品种,3,4,✅高胜率区,-23.57,27.86,-2.09,3.9507
2026-06-22,016068,未知品种,1,17,🚩高风险(陷阱),-22.94,80.92,0.53,1.2287
2026-06-22,008987,未知品种,1,19,🚩高风险(陷阱),-26.45,65.51,-1.52,1.9253
2026-06-22,018558,未知品种,1,39,正常,-35.8,47.32,-1.42,0.9755
2026-06-22,001301,未知品种,1,22,🚩高风险(陷阱),-27.19,58.46,-0.15,2.806
2026-06-22,021674,未知品种,1,49,🚩高风险(陷阱),-36.08,76.57,-0.1,1.3431
2026-06-22,020398,未知品种,1,29,正常,-39.89,44.83,-1.94,1.2247
2026-06-18,006328,未知品种,3,80,✅高胜率区,-38.31,17.33,-2.57,0.8032
2026-06-18,011584,未知品种,1,25,正常,-29.19,51.75,-1.69,0.9631
