date,fund_code,名称,评分,持续天数,风险预警,回撤%,RSI,BIAS,price
2026-06-17,021031,未知品种,1,37,正常,-39.11,50.3,-1.88,1.3537
2026-06-17,016708,未知品种,1,16,🚩高风险(陷阱),-21.69,80.17,3.2,1.8583
2026-06-17,011068,未知品种,1,2,🚩高风险(陷阱),-21.58,67.82,1.26,5.472
2026-06-17,020635,未知品种,3,37,✅高胜率区,-35.93,49.66,-1.76,1.2858
2026-06-17,011117,未知品种,1,9,🚩高风险(陷阱),-21.15,57.8,1.53,2.0888
2026-06-17,002207,未知品种,1,65,🚩高风险(陷阱),-35.28,77.27,4.22,2.566
2026-06-17,012729,未知品种,3,27,✅高胜率区,-36.4,19.82,-1.79,1.1236
2026-06-17,009478,未知品种,1,16,正常,-23.63,47.5,1.82,2.0809
2026-06-17,010655,未知品种,1,24,🚩高风险(陷阱),-29.59,58.65,-1.48,0.8441
2026-06-17,014662,未知品种,1,22,正常,-24.69,47.24,1.91,2.0945
2026-06-17,019599,未知品种,3,37,✅高胜率区,-35.95,49.3,-1.66,0.9156
2026-06-17,009034,未知品种,1,17,正常,-24.29,47.26,1.91,2.1712
2026-06-17,009505,未知品种,1,16,正常,-24.2,47.33,1.95,1.9751
2026-06-17,010827,未知品种,1,23,🚩高风险(陷阱),-29.79,61.57,0.47,2.1182
2026-06-17,004235,未知品种,3,2,✅高胜率区,-22.84,27.84,-2.69,3.9883
2026-06-17,016068,未知品种,1,15,🚩高风险(陷阱),-23.02,75.24,1.67,1.2273
2026-06-17,008987,未知品种,1,17,正常,-24.43,47.18,1.93,1.9781
2026-06-17,018558,未知品种,3,37,✅高胜率区,-35.95,48.65,-1.73,0.9732
2026-06-17,018168,未知品种,1,2,🚩高风险(陷阱),-20.27,84.67,3.76,1.9148
2026-06-17,001301,未知品种,1,20,🚩高风险(陷阱),-27.27,60.1,0.09,2.803
2026-06-17,021674,未知品种,1,47,🚩高风险(陷阱),-35.2,77.02,3.94,1.3615
2026-06-17,020398,未知品种,3,27,✅高胜率区,-39.94,49.86,-2.08,1.2238
2026-06-16,006328,未知品种,5,78,🔥极高胜率(背离),-37.1,25.86,-2.12,0.8189
2026-06-16,011584,未知品种,1,23,🚩高风险(陷阱),-27.49,58.64,0.94,0.9862
