date,fund_code,名称,评分,持续天数,风险预警,回撤%,RSI,BIAS,price
2026-06-12,021031,未知品种,1,34,正常,-36.8,45.52,2.03,1.4051
2026-06-12,016708,未知品种,1,13,正常,-24.32,48.27,4.07,1.7958
2026-06-12,011068,未知品种,1,13,正常,-21.88,54.96,4.24,5.451
2026-06-12,020635,未知品种,1,34,正常,-33.52,42.7,1.77,1.3342
2026-06-12,011117,未知品种,3,6,✅高胜率区,-22.82,23.29,-0.13,2.0445
2026-06-12,002207,未知品种,1,62,正常,-38.36,39.44,2.85,2.444
2026-06-12,012729,未知品种,3,24,✅高胜率区,-35.64,26.85,-2.85,1.1371
2026-06-12,009478,未知品种,3,13,✅高胜率区,-26.08,19.69,-2.09,2.0142
2026-06-12,010655,未知品种,1,21,🚩高风险(陷阱),-27.45,59.83,2.82,0.8698
2026-06-12,014662,未知品种,3,19,✅高胜率区,-27.23,19.29,-2.24,2.0239
2026-06-12,019599,未知品种,1,34,正常,-33.71,43.56,1.65,0.9477
2026-06-12,009034,未知品种,3,14,✅高胜率区,-26.83,19.25,-2.23,2.0984
2026-06-12,009505,未知品种,3,13,✅高胜率区,-26.79,19.48,-2.26,1.9076
2026-06-12,010827,未知品种,1,20,正常,-29.48,36.3,1.51,2.1277
2026-06-12,016068,未知品种,1,12,🚩高风险(陷阱),-24.34,66.24,2.49,1.2064
2026-06-12,008987,未知品种,3,14,✅高胜率区,-27.0,19.26,-2.27,1.9108
2026-06-12,018558,未知品种,1,34,正常,-33.63,42.42,1.61,1.0085
2026-06-12,018168,未知品种,1,13,正常,-23.58,49.3,4.4,1.8353
2026-06-12,001301,未知品种,1,17,正常,-26.54,36.75,1.39,2.831
2026-06-12,021674,未知品种,1,44,正常,-38.13,39.75,2.81,1.3
2026-06-12,004433,未知品种,1,13,正常,-22.79,49.56,4.08,1.8728
2026-06-12,020398,未知品种,1,24,正常,-37.4,46.85,2.3,1.2754
2026-06-11,006328,未知品种,3,75,✅高胜率区,-36.34,3.96,-2.62,0.8288
2026-06-11,011584,未知品种,3,20,✅高胜率区,-29.49,0.0,-1.95,0.959
