date,fund_code,名称,评分,持续天数,风险预警,回撤%,RSI,BIAS,price
2026-06-05,008987,未知品种,1,9,🚩高风险(陷阱),-21.89,61.43,-0.84,2.0446
2026-06-05,004433,未知品种,3,8,✅高胜率区,-24.24,35.74,-2.38,1.8377
2026-06-05,019599,未知品种,3,29,✅高胜率区,-33.38,34.63,-3.19,0.9524
2026-06-04,006328,未知品种,1,70,正常,-32.84,54.37,0.27,0.8744
2026-06-05,016068,未知品种,3,7,✅高胜率区,-26.69,3.07,-2.37,1.1689
2026-06-05,011068,未知品种,1,8,正常,-24.36,36.0,-1.8,5.278
2026-06-05,002207,未知品种,3,57,✅高胜率区,-37.28,30.0,-2.91,2.487
2026-06-05,014662,未知品种,1,14,🚩高风险(陷阱),-22.2,61.41,-0.83,2.1637
2026-06-05,020635,未知品种,3,29,✅高胜率区,-33.17,32.45,-3.6,1.3413
2026-06-04,011584,未知品种,3,15,✅高胜率区,-25.61,28.0,-1.41,1.0118
2026-06-05,001301,未知品种,3,12,✅高胜率区,-25.17,39.39,-1.31,2.884
2026-06-05,021031,未知品种,3,29,✅高胜率区,-37.1,31.55,-4.21,1.3983
2026-06-05,018168,未知品种,3,8,✅高胜率区,-25.17,36.06,-2.57,1.7972
2026-06-05,012729,未知品种,1,19,正常,-31.63,36.0,-0.62,1.208
2026-06-05,009478,未知品种,1,8,🚩高风险(陷阱),-21.29,61.09,-0.8,2.1449
2026-06-05,016708,未知品种,1,8,正常,-25.47,32.84,-2.72,1.7686
2026-06-05,009034,未知品种,1,9,🚩高风险(陷阱),-21.8,61.53,-0.82,2.2425
2026-06-05,021674,未知品种,3,39,✅高胜率区,-37.22,31.63,-2.96,1.319
2026-06-05,010655,未知品种,3,16,✅高胜率区,-29.07,34.12,-3.31,0.8504
2026-06-05,010827,未知品种,1,15,正常,-27.95,33.47,-1.77,2.1738
2026-06-05,018558,未知品种,3,29,✅高胜率区,-33.15,33.66,-3.23,1.0157
2026-06-05,009505,未知品种,1,8,🚩高风险(陷阱),-21.7,61.59,-0.83,2.0402
2026-06-05,011117,未知品种,5,1,🔥极高胜率(背离),-21.39,25.85,-2.41,2.0823
2026-06-05,020398,未知品种,7,19,🔥极高胜率(背离),-37.97,25.49,-5.76,1.2638
