date,fund_code,名称,评分,持续天数,风险预警,回撤%,RSI,BIAS,price
2026-06-29,021031,未知品种,1,44,🚩高风险(陷阱),-35.73,65.15,4.56,1.4288
2026-06-29,016708,未知品种,1,5,正常,-28.26,32.02,-4.09,1.7024
2026-06-29,011068,未知品种,3,5,✅高胜率区,-28.89,29.93,-3.91,4.962
2026-06-29,015290,未知品种,3,5,✅高胜率区,-22.69,18.57,-1.02,1.4768
2026-06-29,020635,未知品种,1,44,🚩高风险(陷阱),-30.7,75.86,5.06,1.3909
2026-06-29,011117,未知品种,1,16,正常,-22.42,40.92,0.04,2.055
2026-06-29,002207,未知品种,3,72,✅高胜率区,-42.17,27.2,-4.6,2.293
2026-06-29,012729,未知品种,1,34,🚩高风险(陷阱),-33.92,65.71,1.12,1.1675
2026-06-29,009478,未知品种,3,23,✅高胜率区,-27.78,20.06,-0.44,1.9679
2026-06-29,010655,未知品种,1,31,🚩高风险(陷阱),-20.46,84.02,6.78,0.9536
2026-06-29,014662,未知品种,3,29,✅高胜率区,-28.98,20.03,-0.46,1.9752
2026-06-29,019599,未知品种,1,44,🚩高风险(陷阱),-31.27,74.41,4.75,0.9825
2026-06-29,004815,未知品种,1,5,正常,-23.28,32.01,-1.64,1.7627
2026-06-29,009034,未知品种,3,24,✅高胜率区,-28.6,19.92,-0.46,2.0477
2026-06-29,009505,未知品种,3,23,✅高胜率区,-28.49,20.15,-0.45,1.8634
2026-06-29,010827,未知品种,3,30,✅高胜率区,-36.84,18.2,-2.48,1.9057
2026-06-29,004235,未知品种,1,9,正常,-23.89,54.08,1.55,3.934
2026-06-29,016068,未知品种,3,22,✅高胜率区,-29.38,22.26,-4.36,1.1259
2026-06-29,008987,未知品种,3,24,✅高胜率区,-28.77,20.4,-0.45,1.8646
2026-06-29,018558,未知品种,1,44,🚩高风险(陷阱),-31.12,74.89,4.89,1.0465
2026-06-29,001770,未知品种,3,2,✅高胜率区,-23.34,0.0,-4.4,2.089
2026-06-29,018168,未知品种,1,5,正常,-26.19,33.32,-4.22,1.7728
2026-06-29,001301,未知品种,3,27,✅高胜率区,-33.42,25.21,-2.82,2.566
2026-06-29,021674,未知品种,3,54,✅高胜率区,-44.17,14.94,-4.15,1.1731
2026-06-29,004433,未知品种,1,5,正常,-26.69,30.0,-4.48,1.7782
2026-06-29,020398,未知品种,1,34,🚩高风险(陷阱),-34.75,68.32,6.36,1.3294
2026-06-26,006328,未知品种,3,85,✅高胜率区,-43.87,8.06,-4.88,0.7308
2026-06-26,011584,未知品种,3,30,✅高胜率区,-33.92,2.84,-3.82,0.8988
