fund_code,最新净值,RSI,净值/MA50,MACD信号,布林带位置,投资建议,行动信号
015857,1.5232,23.60,0.97,死叉,中轨,可分批买入,弱买入
009063,1.9125,26.99,1.02,死叉,中轨,可分批买入,弱买入
013239,1.3003,27.61,0.99,死叉,中轨,可分批买入,弱买入
020829,1.8621,29.06,0.95,死叉,中轨,可分批买入,弱买入
017526,1.3858,29.08,0.95,死叉,中轨,可分批买入,弱买入
017522,1.3766,29.10,0.95,死叉,中轨,可分批买入,弱买入
017518,1.5301,29.13,0.95,死叉,中轨,可分批买入,弱买入
017524,1.3451,29.13,0.95,死叉,中轨,可分批买入,弱买入
017528,1.4083,29.13,0.95,死叉,中轨,可分批买入,弱买入
017516,1.4772,29.17,0.95,死叉,中轨,可分批买入,弱买入
017513,1.7223,29.19,0.96,死叉,中轨,可分批买入,弱买入
021173,1.9973,29.20,0.95,死叉,中轨,可分批买入,弱买入
021299,2.0040,29.25,0.96,死叉,中轨,可分批买入,弱买入
018113,1.6021,29.26,0.96,死叉,中轨,可分批买入,弱买入
019865,2.0518,29.26,1.00,死叉,中轨,可分批买入,弱买入
018129,1.6890,29.27,0.95,死叉,中轨,可分批买入,弱买入
017520,1.4319,29.29,0.96,死叉,中轨,可分批买入,弱买入
018121,1.5074,29.34,0.95,死叉,中轨,可分批买入,弱买入
018115,1.4335,29.39,0.95,死叉,中轨,可分批买入,弱买入
019458,1.8673,29.44,0.97,死叉,中轨,可分批买入,弱买入
018227,1.6566,31.50,1.01,死叉,中轨,观察,弱买入
016531,1.8558,32.89,1.00,死叉,中轨,观察,弱买入
017461,2.2402,34.47,1.01,死叉,中轨,观察,弱买入
009645,1.8752,35.72,1.03,死叉,中轨,观察,弱买入
016076,1.1272,35.78,1.03,死叉,中轨,观察,弱买入
018731,1.9458,35.89,1.01,死叉,中轨,观察,弱买入
015751,1.7312,36.08,1.02,死叉,中轨,观察,弱买入
017968,1.7419,36.83,1.04,死叉,中轨,观察,弱买入
014243,1.9637,37.05,1.04,死叉,中轨,观察,弱买入
011306,3.5440,37.36,1.02,死叉,中轨,观察,弱买入
012224,0.7603,37.83,1.04,死叉,中轨,观察,弱买入
016373,1.3512,38.06,1.05,死叉,中轨,观察,弱买入
013153,1.6150,38.30,1.04,死叉,中轨,观察,弱买入
015608,1.3470,38.34,1.06,死叉,中轨,观察,弱买入
013722,1.4980,38.44,1.05,死叉,中轨,观察,弱买入
015968,1.6225,38.52,1.07,死叉,中轨,观察,弱买入
018288,2.0992,38.73,1.05,死叉,中轨,观察,弱买入
018082,1.8740,38.76,1.08,死叉,中轨,观察,弱买入
016251,1.2803,38.91,1.03,死叉,中轨,观察,弱买入
015690,4.6860,38.95,1.05,死叉,中轨,观察,弱买入
167507,1.7478,39.77,1.05,死叉,中轨,观察,弱买入
016234,1.2106,39.86,1.01,死叉,中轨,观察,弱买入
018836,2.3105,39.89,1.03,死叉,中轨,观察,弱买入
017511,1.4851,39.96,1.04,死叉,中轨,观察,弱买入
005959,3.1679,40.09,1.01,死叉,中轨,观察,弱买入
015144,1.7786,40.10,1.01,死叉,中轨,观察,弱买入
006523,2.1698,40.24,1.01,死叉,中轨,观察,弱买入
019348,2.0457,40.34,1.05,死叉,中轨,观察,弱买入
015152,1.6399,40.43,1.07,死叉,中轨,观察,弱买入
010034,1.4537,40.51,1.03,死叉,中轨,观察,弱买入
015271,2.0080,40.51,1.01,死叉,中轨,观察,弱买入
002771,4.3796,40.55,1.05,死叉,中轨,观察,弱买入
015683,2.0029,40.80,1.06,死叉,中轨,观察,弱买入
012457,0.9335,41.09,1.05,死叉,中轨,观察,弱买入
015456,1.7082,41.22,1.02,死叉,中轨,观察,弱买入
012322,1.4555,41.30,1.02,死叉,中轨,观察,弱买入
011120,2.4430,41.38,1.10,死叉,中轨,观察,弱买入
012800,4.2850,41.55,1.07,死叉,中轨,观察,弱买入
019514,2.6437,41.59,1.06,死叉,中轨,观察,弱买入
009492,1.6718,41.62,1.04,死叉,中轨,观察,弱买入
010531,1.5265,41.74,1.09,死叉,中轨,观察,弱买入
018359,1.3658,41.75,1.05,死叉,中轨,观察,弱买入
015692,6.5000,41.86,1.07,死叉,中轨,观察,弱买入
018495,1.8953,41.94,1.05,死叉,中轨,观察,弱买入
015097,1.7701,41.96,1.07,死叉,中轨,观察,弱买入
010647,1.1768,42.05,1.06,死叉,中轨,观察,弱买入
014130,1.6844,42.06,1.02,死叉,中轨,观察,弱买入
017854,1.4963,42.07,1.02,死叉,中轨,观察,弱买入
015389,2.2415,42.08,1.08,死叉,中轨,观察,弱买入
007356,3.3435,42.22,1.06,死叉,中轨,观察,弱买入
017290,2.8190,42.22,1.03,死叉,中轨,观察,弱买入
008021,1.4153,42.25,1.07,死叉,中轨,观察,弱买入
002052,1.9350,42.27,1.07,死叉,中轨,观察,弱买入
014037,1.2099,42.32,1.06,死叉,中轨,观察,弱买入
019053,2.8882,42.42,1.06,死叉,中轨,观察,弱买入
009708,2.7520,42.49,1.11,死叉,中轨,观察,弱买入
021091,2.0817,42.49,1.02,死叉,中轨,观察,弱买入
011487,1.0184,42.62,1.06,死叉,中轨,观察,弱买入
019024,1.6547,42.63,1.09,死叉,中轨,观察,弱买入
011145,1.8956,42.69,1.05,死叉,中轨,观察,弱买入
007509,4.5390,42.72,1.05,死叉,中轨,观察,弱买入
012651,1.2489,42.73,1.09,死叉,中轨,观察,弱买入
018957,2.9315,42.86,1.06,死叉,中轨,观察,弱买入
010238,1.0463,42.87,1.08,死叉,中轨,观察,弱买入
