基金全称,宝盈转型动力灵活配置混合型证券投资基金,基金简称,宝盈转型动力混合A
基金代码,001075（前端）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2015年04月15日,成立日期/规模,2015年04月29日 / 58.039亿份
资产规模,5.78亿元（截止至：2025年06月30日）份额规模4.3749亿份（截止至：2025年06月30日）,份额规模,4.3749亿份（截止至：2025年06月30日）
基金管理人,宝盈基金,基金托管人,农业银行
基金经理人,容志能,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,中证800指数收益率*70%+中证综合债券指数收益率*30%,跟踪标的,该基金无跟踪标的
