基金全称,嘉实前沿科技沪港深股票型证券投资基金,基金简称,嘉实前沿科技沪港深股票A
基金代码,004450（前端）基金类型股票型,基金类型,股票型
发行日期,2017年04月17日,成立日期/规模,2017年05月19日 / 11.682亿份
资产规模,23.30亿元（截止至：2025年06月30日）份额规模12.154亿份（截止至：2025年06月30日）,份额规模,12.154亿份（截止至：2025年06月30日）
基金管理人,嘉实基金,基金托管人,建设银行
基金经理人,王贵重、赵钰,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）天天基金优惠费率：0.12%（前端）
业绩比较基准,中证800指数收益率*80%+中债总财富指数收益率*20%,跟踪标的,该基金无跟踪标的
