基金全称,财通资管科技创新一年定期开放混合型证券投资基金,基金简称,财通资管科技创新一年定开混合
基金代码,009447（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2020年07月07日,成立日期/规模,2020年07月10日 / 9.889亿份
资产规模,7.96亿元（截止至：2025年06月30日）份额规模6.1074亿份（截止至：2025年06月30日）,份额规模,6.1074亿份（截止至：2025年06月30日）
基金管理人,财通资管,基金托管人,工商银行
基金经理人,包斅文、邓芳程,成立来分红,每份累计0.08元（1次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,---（每年）,最高认购费率,1.20%（前端）
业绩比较基准,中国战略新兴产业成份指数收益率*60%+中债综合全价指数收益率*40%,跟踪标的,该基金无跟踪标的
