基金全称,德邦半导体产业混合型发起式证券投资基金,基金简称,德邦半导体产业混合发起式A
基金代码,014319（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2021年12月20日,成立日期/规模,2021年12月28日 / 0.143亿份
资产规模,3.58亿元（截止至：2025年06月30日）份额规模2.9543亿份（截止至：2025年06月30日）,份额规模,2.9543亿份（截止至：2025年06月30日）
基金管理人,德邦基金,基金托管人,浦发银行
基金经理人,雷涛,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）天天基金优惠费率：0.12%（前端）
业绩比较基准,中证全指半导体产品与设备指数收益率*70%+中证港股通综合指数收益率*10%+中证全债指数收益率*20%,跟踪标的,该基金无跟踪标的
