基金全称,工银瑞信国证新能源车电池交易型开放式指数证券投资基金发起式联接基金,基金简称,工银国证新能源车电池ETF发起式联接A
基金代码,015873（前端）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2022年06月06日,成立日期/规模,2022年07月04日 / 4.378亿份
资产规模,0.46亿元（截止至：2025年06月30日）份额规模0.7481亿份（截止至：2025年06月30日）,份额规模,0.7481亿份（截止至：2025年06月30日）
基金管理人,工银瑞信基金,基金托管人,中信建投
基金经理人,刘伟琳,成立来分红,每份累计0.00元（0次）
管理费率,0.45%（每年）,托管费率,0.07%（每年）
销售服务费率,0.00%（每年）,最高认购费率,0.80%（前端）天天基金优惠费率：0.08%（前端）
业绩比较基准,国证新能源车电池指数收益率*95%+银行人民币活期存款利率(税后)*5%,跟踪标的,国证新能源车电池指数
