基金全称,安信创新先锋混合型发起式证券投资基金,基金简称,安信创新先锋混合发起C
基金代码,010238（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2020年10月21日,成立日期/规模,2020年10月30日 / 3.273亿份
资产规模,1.85亿元（截止至：2025年09月30日）份额规模1.7341亿份（截止至：2025年09月30日）,份额规模,1.7341亿份（截止至：2025年09月30日）
基金管理人,安信基金,基金托管人,招商银行
基金经理人,张天麒,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.50%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证800指数收益率×60%+恒生指数收益率(使用估值汇率折算)×10%+中债总指数(全价)收益率×30%,跟踪标的,该基金无跟踪标的
