基金全称,大成港股精选混合型证券投资基金(QDII),基金简称,大成港股精选混合(QDII)A
基金代码,011583（前端）基金类型QDII-混合偏股,基金类型,QDII-混合偏股
发行日期,2021年04月15日,成立日期/规模,2021年05月06日 / 4.941亿份
资产规模,3.50亿元（截止至：2025年06月30日）份额规模3.2533亿份（截止至：2025年06月30日）,份额规模,3.2533亿份（截止至：2025年06月30日）
基金管理人,大成基金,基金托管人,工商银行
基金经理人,柏杨,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,恒生指数收益率(使用估值汇率折算)*70%+中证综合债指数收益率*30%,跟踪标的,该基金无跟踪标的
