基金全称,摩根中国优势证券投资基金,基金简称,摩根中国优势混合A
基金代码,375010（前端）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2004年08月09日,成立日期/规模,2004年09月15日 / 16.693亿份
资产规模,16.58亿元（截止至：2025年06月30日）份额规模11.5161亿份（截止至：2025年06月30日）,份额规模,11.5161亿份（截止至：2025年06月30日）
基金管理人,摩根基金(中国),基金托管人,建设银行
基金经理人,杜猛,成立来分红,每份累计4.77元（10次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,沪深300指数收益率*70%+中债总指数收益率*30%,跟踪标的,该基金无跟踪标的
