基金全称,富国中证移动互联网指数型证券投资基金(LOF),基金简称,富国中证移动互联网指数(LOF)C
基金代码,014173（前端）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2018年12月19日,成立日期/规模,2021年12月02日 / --
资产规模,0.39亿元（截止至：2025年06月30日）份额规模0.4231亿份（截止至：2025年06月30日）,份额规模,0.4231亿份（截止至：2025年06月30日）
基金管理人,富国基金,基金托管人,招商证券
基金经理人,牛志冬,成立来分红,每份累计0.00元（0次）
管理费率,1.00%（每年）,托管费率,0.12%（每年）
销售服务费率,0.20%（每年）,最高认购费率,---（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证移动互联网指数收益率*95%+银行人民币活期存款利率(税后)*5%,跟踪标的,中证移动互联网指数
