基金全称,融通深证成份指数证券投资基金,基金简称,融通深证成份指数C
基金代码,004875（前端）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2010年10月11日,成立日期/规模,2017年07月05日 / --
资产规模,0.22亿元（截止至：2025年09月30日）份额规模0.1636亿份（截止至：2025年09月30日）,份额规模,0.1636亿份（截止至：2025年09月30日）
基金管理人,融通基金,基金托管人,工商银行
基金经理人,蔡志伟,成立来分红,每份累计0.02元（3次）
管理费率,1.00%（每年）,托管费率,0.20%（每年）
销售服务费率,0.40%（每年）,最高认购费率,---（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,深证成份指数收益率×95%+ 银行活期存款利率×5%,跟踪标的,深证成份指数(价格)
