基金全称,申万菱信中证申万电子行业投资指数型证券投资基金(LOF),基金简称,申万中证申万电子行业投资指数(LOF)A
基金代码,163116（主代码）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2015年04月21日,成立日期/规模,2015年05月14日 / 5.947亿份
资产规模,1.86亿元（截止至：2025年06月30日）份额规模1.8971亿份（截止至：2025年06月30日）,份额规模,1.8971亿份（截止至：2025年06月30日）
基金管理人,申万菱信基金,基金托管人,广发银行
基金经理人,王赟杰,成立来分红,每份累计0.00元（0次）
管理费率,0.50%（每年）,托管费率,0.10%（每年）
销售服务费率,0.00%（每年）,最高认购费率,0.40%（前端）
业绩比较基准,中证申万电子行业投资指数收益率×95%+银行活期存款利率(税后)×5%,跟踪标的,中证申万电子行业投资指数
