基金全称,上银数字经济混合型发起式证券投资基金,基金简称,上银数字经济混合发起式C
基金代码,021594（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2024年07月15日,成立日期/规模,2024年08月06日 / 0.223亿份
资产规模,2.39亿元（截止至：2025年09月30日）份额规模1.4353亿份（截止至：2025年09月30日）,份额规模,1.4353亿份（截止至：2025年09月30日）
基金管理人,上银基金,基金托管人,兴业银行
基金经理人,赵治烨、惠军,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.40%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证数字经济主题指数收益率*70%+中证港股通综合指数收益率*10%+中证综合债券指数收益率*20%,跟踪标的,该基金无跟踪标的
