基金全称,方正富邦信泓灵活配置混合型证券投资基金,基金简称,方正富邦信泓混合C
基金代码,008182（前端）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2019年04月30日,成立日期/规模,2019年11月05日 / --
资产规模,0.98亿元（截止至：2025年06月30日）份额规模1.3315亿份（截止至：2025年06月30日）,份额规模,1.3315亿份（截止至：2025年06月30日）
基金管理人,方正富邦基金,基金托管人,建设银行
基金经理人,李朝昱,成立来分红,每份累计0.00元（0次）
管理费率,0.80%（每年）,托管费率,0.20%（每年）
销售服务费率,0.30%（每年）,最高认购费率,---（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,沪深300指数收益率×70%+中证全债指数收益率×30%,跟踪标的,该基金无跟踪标的
