基金全称,国泰中证全指通信设备交易型开放式指数证券投资基金发起式联接基金,基金简称,国泰中证全指通信设备ETF联接A
基金代码,007817（前端）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2019年08月27日,成立日期/规模,2019年09月03日 / 0.142亿份
资产规模,1.98亿元（截止至：2025年06月30日）份额规模1.3695亿份（截止至：2025年06月30日）,份额规模,1.3695亿份（截止至：2025年06月30日）
基金管理人,国泰基金,基金托管人,工商银行
基金经理人,艾小军,成立来分红,每份累计0.00元（0次）
管理费率,0.50%（每年）,托管费率,0.10%（每年）
销售服务费率,0.00%（每年）,最高认购费率,0.80%（前端）天天基金优惠费率：0.08%（前端）
业绩比较基准,中证全指通信设备指数收益率*95%+银行活期存款利率(税后)*5%,跟踪标的,中证全指通信设备指数
