基金全称,华泰保兴成长优选混合型证券投资基金,基金简称,华泰保兴成长优选C
基金代码,005905（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2018年05月07日,成立日期/规模,2018年06月07日 / 2.358亿份
资产规模,0.25亿元（截止至：2025年06月30日）份额规模0.1555亿份（截止至：2025年06月30日）,份额规模,0.1555亿份（截止至：2025年06月30日）
基金管理人,华泰保兴基金,基金托管人,中国银行
基金经理人,田荣,成立来分红,每份累计0.38元（1次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.60%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,沪深300指数收益率*70%+中债总指数(全价)收益率*30%,跟踪标的,该基金无跟踪标的
