基金全称,信澳匠心严选一年持有期混合型证券投资基金,基金简称,信澳匠心严选一年持有混合C
基金代码,016373（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2022年08月16日,成立日期/规模,2022年09月07日 / 8.952亿份
资产规模,0.64亿元（截止至：2025年06月30日）份额规模0.7112亿份（截止至：2025年06月30日）,份额规模,0.7112亿份（截止至：2025年06月30日）
基金管理人,信达澳亚基金,基金托管人,浦发银行
基金经理人,吴清宇,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.60%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,0.00%（前端）
业绩比较基准,中证800指数收益率*85%+中证港股通综合指数*5%+银行活期存款利率(税后)*10%,跟踪标的,该基金无跟踪标的
