基金全称,鹏华远见精选混合型发起式证券投资基金,基金简称,鹏华远见精选混合发起式C
基金代码,019821（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2023年11月20日,成立日期/规模,2023年11月28日 / 0.102亿份
资产规模,0.05亿元（截止至：2025年06月30日）份额规模0.037亿份（截止至：2025年06月30日）,份额规模,0.037亿份（截止至：2025年06月30日）
基金管理人,鹏华基金,基金托管人,上海银行
基金经理人,王子建,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.60%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证500指数收益率*70%+恒生指数收益率*10%(经汇率估值调整)+中证综合债指数收益率*20%,跟踪标的,该基金无跟踪标的
