基金全称,东方人工智能主题混合型证券投资基金,基金简称,东方人工智能主题混合C
基金代码,017811（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2018年05月04日,成立日期/规模,2023年02月22日 / --
资产规模,29.09亿元（截止至：2025年06月30日）份额规模26.6047亿份（截止至：2025年06月30日）,份额规模,26.6047亿份（截止至：2025年06月30日）
基金管理人,东方基金,基金托管人,农业银行
基金经理人,严凯,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.40%（每年）,最高认购费率,---（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证人工智能主题指数收益率*80%+银行活期存款利率(税后)*20%,跟踪标的,该基金无跟踪标的
