基金全称,银华全球新能源车量化优选股票型发起式证券投资基金(QDII),基金简称,银华全球新能源车量化优选股票(QDII)C
基金代码,015205（前端）基金类型QDII-普通股票,基金类型,QDII-普通股票
发行日期,2022年03月01日,成立日期/规模,2022年04月07日 / 0.441亿份
资产规模,1.21亿元（截止至：2025年06月30日）份额规模1.0115亿份（截止至：2025年06月30日）,份额规模,1.0115亿份（截止至：2025年06月30日）
基金管理人,银华基金,基金托管人,招商银行
基金经理人,李宜璇,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.40%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证新能源汽车指数收益率*45%+标普500指数(经估值汇率调整)收益率*45%+人民币活期存款利率(税后)*10%,跟踪标的,该基金无跟踪标的
