基金全称,万家国证2000交易型开放式指数证券投资基金发起式联接基金,基金简称,万家国证2000ETF发起联接C
基金代码,016789（前端）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2022年09月30日,成立日期/规模,2022年10月11日 / 0.102亿份
资产规模,0.90亿元（截止至：2025年09月30日）份额规模0.6841亿份（截止至：2025年09月30日）,份额规模,0.6841亿份（截止至：2025年09月30日）
基金管理人,万家基金,基金托管人,工商银行
基金经理人,杨坤,成立来分红,每份累计0.00元（0次）
管理费率,0.50%（每年）,托管费率,0.10%（每年）
销售服务费率,0.30%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,国证2000指数收益率*95%+银行活期存款利率(税后)*5%,跟踪标的,国证2000指数
