基金全称,前海开源多元策略灵活配置混合型证券投资基金,基金简称,前海开源多元策略混合C
基金代码,004497（前端）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2017年03月28日,成立日期/规模,2017年07月03日 / 2.024亿份
资产规模,2.14亿元（截止至：2025年06月30日）份额规模1.0116亿份（截止至：2025年06月30日）,份额规模,1.0116亿份（截止至：2025年06月30日）
基金管理人,前海开源基金,基金托管人,交通银行
基金经理人,叶嘉,成立来分红,每份累计0.59元（1次）
管理费率,0.70%（每年）,托管费率,0.10%（每年）
销售服务费率,0.10%（每年）,最高认购费率,1.20%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证500指数收益率×50%+恒生指数收益率×20%+中证全债指数收益率×30%,跟踪标的,该基金无跟踪标的
