基金全称,嘉实基础产业优选股票型证券投资基金,基金简称,嘉实基础产业优选股票C
基金代码,009127（前端）基金类型股票型,基金类型,股票型
发行日期,2020年03月25日,成立日期/规模,2020年04月15日 / 7.497亿份
资产规模,0.11亿元（截止至：2025年06月30日）份额规模0.0887亿份（截止至：2025年06月30日）,份额规模,0.0887亿份（截止至：2025年06月30日）
基金管理人,嘉实基金,基金托管人,建设银行
基金经理人,肖觅,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.50%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证全指资本品指数收益率*30%+中证全指运输指数收益率*30%+中证全指原材料指数收益率*20%+恒生指数收益率*5%+中债综合财富指数收益率*15%,跟踪标的,该基金无跟踪标的
