基金全称,工银瑞信创业板交易型开放式指数证券投资基金联接基金,基金简称,工银创业板ETF联接C
基金代码,005391（前端）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2018年01月08日,成立日期/规模,2018年03月21日 / 5.339亿份
资产规模,2.11亿元（截止至：2025年06月30日）份额规模1.7377亿份（截止至：2025年06月30日）,份额规模,1.7377亿份（截止至：2025年06月30日）
基金管理人,工银瑞信基金,基金托管人,中国银行
基金经理人,赵栩,成立来分红,每份累计0.00元（0次）
管理费率,0.50%（每年）,托管费率,0.10%（每年）
销售服务费率,0.35%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,创业板指数收益率×95%+银行人民币活期存款利率(税后)×5%,跟踪标的,创业板指数(价格)
