基金全称,融通中证人工智能主题指数证券投资基金(LOF),基金简称,融通人工智能指数(LOF)C
基金代码,009239（前端）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2017年01月03日,成立日期/规模,2020年04月01日 / --
资产规模,2.04亿元（截止至：2025年09月30日）份额规模0.8626亿份（截止至：2025年09月30日）,份额规模,0.8626亿份（截止至：2025年09月30日）
基金管理人,融通基金,基金托管人,建设银行
基金经理人,何天翔、林丽娟,成立来分红,每份累计0.00元（0次）
管理费率,0.80%（每年）,托管费率,0.15%（每年）
销售服务费率,0.40%（每年）,最高认购费率,---（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,95%×中证人工智能主题指数收益率+5%×银行人民币活期存款利率(税后),跟踪标的,中证人工智能主题指数
