基金全称,银华多元动力灵活配置混合型证券投资基金,基金简称,银华多元动力灵活配置混合
基金代码,005251（前端）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2017年11月13日,成立日期/规模,2017年12月14日 / 2.463亿份
资产规模,0.79亿元（截止至：2025年06月30日）份额规模0.4466亿份（截止至：2025年06月30日）,份额规模,0.4466亿份（截止至：2025年06月30日）
基金管理人,银华基金,基金托管人,招商银行
基金经理人,贾鹏、王智伟,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,---（每年）,最高认购费率,1.20%（前端）天天基金优惠费率：0.12%（前端）
业绩比较基准,沪深300指数收益率×50%+中债综合指数收益率×50%,跟踪标的,该基金无跟踪标的
