基金全称,广发上海金交易型开放式证券投资基金联接基金,基金简称,广发上海金ETF联接C
基金代码,008987（前端）基金类型指数型-其他,基金类型,指数型-其他
发行日期,2020年07月13日,成立日期/规模,2020年08月05日 / 2.741亿份
资产规模,11.79亿元（截止至：2025年06月30日）份额规模7.3005亿份（截止至：2025年06月30日）,份额规模,7.3005亿份（截止至：2025年06月30日）
基金管理人,广发基金,基金托管人,招商银行
基金经理人,姚曦,成立来分红,每份累计0.00元（0次）
管理费率,0.50%（每年）,托管费率,0.10%（每年）
销售服务费率,0.35%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,上海黄金交易所上海金集中定价合约(合约代码:SHAU)的午盘基准价格收益率*95%+活期存款利率(税后)*5%,跟踪标的,上海金
