基金全称,嘉实新优选灵活配置混合型证券投资基金,基金简称,嘉实新优选混合
基金代码,002149（前端）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2016年01月06日,成立日期/规模,2016年04月08日 / 5.628亿份
资产规模,0.27亿元（截止至：2025年06月30日）份额规模0.2995亿份（截止至：2025年06月30日）,份额规模,0.2995亿份（截止至：2025年06月30日）
基金管理人,嘉实基金,基金托管人,民生银行
基金经理人,熊昱洲,成立来分红,每份累计0.07元（2次）
管理费率,0.60%（每年）,托管费率,0.15%（每年）
销售服务费率,---（每年）,最高认购费率,1.20%（前端）
业绩比较基准,沪深300*50%+中债总指数*50%,跟踪标的,该基金无跟踪标的
