基金全称,建信电子行业股票型证券投资基金,基金简称,建信电子行业股票C
基金代码,017747（前端）基金类型股票型,基金类型,股票型
发行日期,2023年03月06日,成立日期/规模,2023年04月11日 / 2.198亿份
资产规模,2.36亿元（截止至：2025年09月30日）份额规模1.27亿份（截止至：2025年09月30日）,份额规模,1.27亿份（截止至：2025年09月30日）
基金管理人,建信基金,基金托管人,招商证券
基金经理人,江映德,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.40%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证全指电子指数*80%+中证港股通电子综合指数*10%+中债总指数收益率*10%,跟踪标的,该基金无跟踪标的
