基金全称,富国港股通策略精选混合型证券投资基金,基金简称,富国港股通策略精选混合A
基金代码,011635（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2021年05月10日,成立日期/规模,2021年05月25日 / 11.425亿份
资产规模,7.21亿元（截止至：2025年06月30日）份额规模7.355亿份（截止至：2025年06月30日）,份额规模,7.355亿份（截止至：2025年06月30日）
基金管理人,富国基金,基金托管人,工商银行
基金经理人,王菀宜,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,恒生港股通指数收益率(经汇率调整后)*70%+沪深300指数收益率*10%+中债综合全价指数收益率*20%,跟踪标的,该基金无跟踪标的
