基金全称,鹏华中证一带一路主题指数型证券投资基金(LOF),基金简称,鹏华中证一带一路主题指数(LOF)C
基金代码,015677（前端）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2015年05月08日,成立日期/规模,2022年05月20日 / --
资产规模,0.08亿元（截止至：2025年06月30日）份额规模0.0671亿份（截止至：2025年06月30日）,份额规模,0.0671亿份（截止至：2025年06月30日）
基金管理人,鹏华基金,基金托管人,招商银行
基金经理人,王力,成立来分红,每份累计0.00元（0次）
管理费率,1.00%（每年）,托管费率,0.20%（每年）
销售服务费率,0.30%（每年）,最高认购费率,---（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证一带一路主题指数收益率*95%+商业银行活期存款利率(税后)*5%,跟踪标的,中证一带一路主题指数
