基金全称,安信中证500指数增强型证券投资基金,基金简称,安信中证500指数增强C
基金代码,005966（前端）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2018年09月14日,成立日期/规模,2018年11月29日 / 2.477亿份
资产规模,0.25亿元（截止至：2025年06月30日）份额规模0.1364亿份（截止至：2025年06月30日）,份额规模,0.1364亿份（截止至：2025年06月30日）
基金管理人,安信基金,基金托管人,宁波银行
基金经理人,朱舟扬,成立来分红,每份累计0.00元（0次）
管理费率,0.80%（每年）,托管费率,0.10%（每年）
销售服务费率,0.40%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,95%×中证500指数收益率+5%×银行活期存款利率(税后),跟踪标的,中证500指数
