基金全称,易方达黄金交易型开放式证券投资基金联接基金,基金简称,易方达黄金ETF联接C
基金代码,002963（前端）基金类型指数型-其他,基金类型,指数型-其他
发行日期,2016年05月03日,成立日期/规模,2016年07月01日 / --
资产规模,145.21亿元（截止至：2025年06月30日）份额规模58.9552亿份（截止至：2025年06月30日）,份额规模,58.9552亿份（截止至：2025年06月30日）
基金管理人,易方达基金,基金托管人,工商银行
基金经理人,鲍杰,成立来分红,每份累计0.00元（0次）
管理费率,0.50%（每年）,托管费率,0.10%（每年）
销售服务费率,0.35%（每年）,最高认购费率,---（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,上海黄金交易所Au99.99现货实盘合约收盘价计算的收益率×95%+活期存款利率(税后)×5%,跟踪标的,黄金9999
