基金全称,海富通股票混合型证券投资基金,基金简称,海富通股票混合
基金代码,519005（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2005年06月10日,成立日期/规模,2005年07月29日 / 4.196亿份
资产规模,19.91亿元（截止至：2025年06月30日）份额规模21.9352亿份（截止至：2025年06月30日）,份额规模,21.9352亿份（截止至：2025年06月30日）
基金管理人,海富通基金,基金托管人,中国银行
基金经理人,吕越超,成立来分红,每份累计1.95元（6次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,---（每年）,最高认购费率,1.20%（前端）
业绩比较基准,80%MSCI China A+20%上证国债,跟踪标的,该基金无跟踪标的
