基金全称,天弘创业板300交易型开放式指数证券投资基金发起式联接基金,基金简称,天弘创业板300ETF发起式联接C
基金代码,011317（前端）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2021年04月08日,成立日期/规模,2021年05月07日 / 0.592亿份
资产规模,1.08亿元（截止至：2025年06月30日）份额规模1.3183亿份（截止至：2025年06月30日）,份额规模,1.3183亿份（截止至：2025年06月30日）
基金管理人,天弘基金,基金托管人,国泰海通
基金经理人,陈瑶,成立来分红,每份累计0.00元（0次）
管理费率,0.50%（每年）,托管费率,0.10%（每年）
销售服务费率,0.20%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,创业板300指数收益率*95%+银行活期存款利率(税后)*5%,跟踪标的,创业板300
