基金全称,易方达成长动力混合型证券投资基金,基金简称,易方达成长动力混合C
基金代码,014728（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2022年01月10日,成立日期/规模,2022年02月08日 / 4.112亿份
资产规模,6.14亿元（截止至：2025年06月30日）份额规模4.8927亿份（截止至：2025年06月30日）,份额规模,4.8927亿份（截止至：2025年06月30日）
基金管理人,易方达基金,基金托管人,中国银行
基金经理人,刘健维,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.50%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证500指数收益率*65%+中证港股通综合指数收益率*20%+中债总指数收益率*15%,跟踪标的,该基金无跟踪标的
