基金全称,景顺长城创业板综指增强型证券投资基金,基金简称,景顺长城创业板综指增强A
基金代码,008072（前端）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2020年03月23日,成立日期/规模,2020年05月25日 / 3.790亿份
资产规模,2.53亿元（截止至：2025年06月30日）份额规模1.5293亿份（截止至：2025年06月30日）,份额规模,1.5293亿份（截止至：2025年06月30日）
基金管理人,景顺长城基金,基金托管人,建设银行
基金经理人,黎海威,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）天天基金优惠费率：0.12%（前端）
业绩比较基准,创业板综合指数收益率*95%+商业银行活期存款利率(税后)*5%,跟踪标的,创业板综合指数
