基金全称,博道伍佰智航股票型证券投资基金,基金简称,博道伍佰智航股票C
基金代码,007832（前端）基金类型股票型,基金类型,股票型
发行日期,2019年09月03日,成立日期/规模,2019年09月26日 / 7.585亿份
资产规模,5.64亿元（截止至：2025年06月30日）份额规模3.9137亿份（截止至：2025年06月30日）,份额规模,3.9137亿份（截止至：2025年06月30日）
基金管理人,博道基金,基金托管人,建设银行
基金经理人,杨梦、刘兆阳,成立来分红,每份累计0.29元（1次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.30%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证500指数收益率×95%+同期银行活期存款利率(税后)×5%,跟踪标的,该基金无跟踪标的
