基金全称,广发成长启航混合型证券投资基金,基金简称,广发成长启航混合A
基金代码,018835（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2023年12月25日,成立日期/规模,2024年03月19日 / 5.549亿份
资产规模,3.50亿元（截止至：2025年06月30日）份额规模1.9525亿份（截止至：2025年06月30日）,份额规模,1.9525亿份（截止至：2025年06月30日）
基金管理人,广发基金,基金托管人,华夏银行
基金经理人,陈韫中,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,沪深300指数收益率*60%+人民币计价的恒生指数收益率*20%+中债-新综合财富(总值)指数收益率*20%,跟踪标的,该基金无跟踪标的
