基金全称,易方达科融混合型证券投资基金,基金简称,易方达科融混合
基金代码,006533（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2019年02月25日,成立日期/规模,2019年03月26日 / 17.507亿份
资产规模,28.91亿元（截止至：2025年06月30日）份额规模8.6616亿份（截止至：2025年06月30日）,份额规模,8.6616亿份（截止至：2025年06月30日）
基金管理人,易方达基金,基金托管人,交通银行
基金经理人,刘健维,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,---（每年）,最高认购费率,1.20%（前端）
业绩比较基准,60%×中证500指数收益率+20%×中证港股通综合指数收益率+20%×中债总指数收益率,跟踪标的,该基金无跟踪标的
