基金全称,前海开源沪港深非周期性行业股票型证券投资基金,基金简称,前海开源沪港深非周期股票A
基金代码,006923（前端）基金类型股票型,基金类型,股票型
发行日期,2019年02月01日,成立日期/规模,2019年03月13日 / 4.398亿份
资产规模,0.32亿元（截止至：2025年06月30日）份额规模0.2862亿份（截止至：2025年06月30日）,份额规模,0.2862亿份（截止至：2025年06月30日）
基金管理人,前海开源基金,基金托管人,农业银行
基金经理人,崔宸龙,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）天天基金优惠费率：0.12%（前端）
业绩比较基准,恒生指数收益率×80%+中证全债指数收益率×20%,跟踪标的,该基金无跟踪标的
