基金全称,汇添富ESG可持续成长股票型证券投资基金,基金简称,汇添富ESG可持续成长股票C
基金代码,011123（前端）基金类型股票型,基金类型,股票型
发行日期,2021年05月19日,成立日期/规模,2021年06月10日 / 20.543亿份
资产规模,0.92亿元（截止至：2025年06月30日）份额规模1.4253亿份（截止至：2025年06月30日）,份额规模,1.4253亿份（截止至：2025年06月30日）
基金管理人,汇添富基金,基金托管人,工商银行
基金经理人,沈若雨,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.80%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,MSCI中国A股指数收益率*60%+恒生指数收益率(经汇率调整)*20%+中债综合指数收益率*20%,跟踪标的,该基金无跟踪标的
