基金全称,建信中证1000指数增强型发起式证券投资基金,基金简称,建信中证1000指数增强C
基金代码,006166（前端）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2018年11月12日,成立日期/规模,2018年11月22日 / 0.996亿份
资产规模,5.94亿元（截止至：2025年09月30日）份额规模2.8729亿份（截止至：2025年09月30日）,份额规模,2.8729亿份（截止至：2025年09月30日）
基金管理人,建信基金,基金托管人,浦发银行
基金经理人,叶乐天、赵云煜,成立来分红,每份累计0.61元（7次）
管理费率,1.00%（每年）,托管费率,0.20%（每年）
销售服务费率,0.40%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证1000指数收益率*95%+银行活期存款税后利率*5%,跟踪标的,中证1000指数
