基金全称,富国沪港深行业精选灵活配置混合型发起式证券投资基金,基金简称,富国沪港深行业精选混合A
基金代码,005354（前端）基金类型混合型-灵活,基金类型,混合型-灵活
发行日期,2017年11月21日,成立日期/规模,2017年12月11日 / 2.419亿份
资产规模,12.11亿元（截止至：2025年06月30日）份额规模8.1479亿份（截止至：2025年06月30日）,份额规模,8.1479亿份（截止至：2025年06月30日）
基金管理人,富国基金,基金托管人,农业银行
基金经理人,汪孟海,成立来分红,每份累计0.07元（1次）
管理费率,0.60%（每年）,托管费率,0.10%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）天天基金优惠费率：0.12%（前端）
业绩比较基准,沪深300指数收益率×10%+恒生综合指数收益率×60% +中债综合全价(总值)指数×30%,跟踪标的,该基金无跟踪标的
