基金全称,景顺长城智能生活混合型证券投资基金,基金简称,景顺长城智能生活混合A
基金代码,005914（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2019年01月10日,成立日期/规模,2019年01月31日 / 15.272亿份
资产规模,1.14亿元（截止至：2025年06月30日）份额规模0.5691亿份（截止至：2025年06月30日）,份额规模,0.5691亿份（截止至：2025年06月30日）
基金管理人,景顺长城基金,基金托管人,农业银行
基金经理人,江山,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）天天基金优惠费率：0.12%（前端）
业绩比较基准,中证800指数收益率*50%+恒生指数收益率*30%+中国债券总指数收益率*20%,跟踪标的,该基金无跟踪标的
