基金全称,方正富邦新兴成长混合型证券投资基金,基金简称,方正富邦新兴成长混合C
基金代码,008603（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2020年05月25日,成立日期/规模,2020年08月28日 / 2.362亿份
资产规模,0.05亿元（截止至：2025年06月30日）份额规模0.0393亿份（截止至：2025年06月30日）,份额规模,0.0393亿份（截止至：2025年06月30日）
基金管理人,方正富邦基金,基金托管人,兴业银行
基金经理人,乔培涛,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.30%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证新兴产业指数收益率×60%+中证全债指数收益率×30%+恒生指数收益率×10%,跟踪标的,该基金无跟踪标的
