基金全称,华夏数字经济龙头混合型发起式证券投资基金,基金简称,华夏数字经济龙头混合发起式A
基金代码,016237（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2022年07月13日,成立日期/规模,2022年08月05日 / 0.319亿份
资产规模,4.58亿元（截止至：2025年06月30日）份额规模4.3004亿份（截止至：2025年06月30日）,份额规模,4.3004亿份（截止至：2025年06月30日）
基金管理人,华夏基金,基金托管人,中国银行
基金经理人,张景松,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）天天基金优惠费率：0.12%（前端）
业绩比较基准,中证数字经济主题指数收益率*60%+中证港股通综合指数收益率*20%+中债综合全价指数收益率*20%,跟踪标的,该基金无跟踪标的
