基金全称,天弘中证1000指数增强型证券投资基金,基金简称,天弘中证1000指数增强C
基金代码,014202（前端）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2021年12月13日,成立日期/规模,2022年01月04日 / 8.016亿份
资产规模,4.06亿元（截止至：2025年06月30日）份额规模3.5164亿份（截止至：2025年06月30日）,份额规模,3.5164亿份（截止至：2025年06月30日）
基金管理人,天弘基金,基金托管人,农业银行
基金经理人,杨超,成立来分红,每份累计0.00元（0次）
管理费率,0.60%（每年）,托管费率,0.10%（每年）
销售服务费率,0.30%（每年）,最高认购费率,0.00%（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,中证1000指数收益率*95%+银行活期存款利率(税后)*5%,跟踪标的,中证1000指数
