基金全称,国泰中证有色金属矿业主题交易型开放式指数证券投资基金发起式联接基金,基金简称,国泰有色矿业ETF联接A
基金代码,018167（前端）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2023年08月10日,成立日期/规模,2023年08月11日 / 0.100亿份
资产规模,0.57亿元（截止至：2025年06月30日）份额规模0.5238亿份（截止至：2025年06月30日）,份额规模,0.5238亿份（截止至：2025年06月30日）
基金管理人,国泰基金,基金托管人,国泰海通
基金经理人,朱碧莹,成立来分红,每份累计0.00元（0次）
管理费率,0.50%（每年）,托管费率,0.10%（每年）
销售服务费率,0.00%（每年）,最高认购费率,0.80%（前端）天天基金优惠费率：0.08%（前端）
业绩比较基准,中证有色金属矿业主题指数收益率*95%+银行活期存款利率(税后)*5%,跟踪标的,中证有色金属矿业主题指数
