基金全称,天弘上证50交易型开放式指数证券投资基金联接基金,基金简称,天弘上证50ETF联接A
基金代码,001548（前端）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2015年07月15日,成立日期/规模,2015年07月16日 / 0.100亿份
资产规模,9.73亿元（截止至：2025年06月30日）份额规模7.2917亿份（截止至：2025年06月30日）,份额规模,7.2917亿份（截止至：2025年06月30日）
基金管理人,天弘基金,基金托管人,广发证券
基金经理人,陈瑶,成立来分红,每份累计0.00元（0次）
管理费率,0.50%（每年）,托管费率,0.10%（每年）
销售服务费率,0.00%（每年）,最高认购费率,0.10%（前端）
业绩比较基准,上证50指数收益率*95%+银行活期存款利率(税后)*5%,跟踪标的,上证50指数
