基金全称,弘毅远方汽车产业升级混合型证券投资基金,基金简称,弘毅远方汽车产业升级混合A
基金代码,015527（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2022年09月15日,成立日期/规模,2022年12月16日 / 2.681亿份
资产规模,0.27亿元（截止至：2025年06月30日）份额规模0.3002亿份（截止至：2025年06月30日）,份额规模,0.3002亿份（截止至：2025年06月30日）
基金管理人,弘毅远方基金,基金托管人,广发证券
基金经理人,王哲宇,成立来分红,每份累计0.00元（0次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）天天基金优惠费率：0.12%（前端）
业绩比较基准,中证智能电动汽车指数收益率*70%+恒生指数收益率(使用估值汇率折算)*5%+中债综合全价(总值)指数收益率*25%,跟踪标的,该基金无跟踪标的
