基金全称,中欧新趋势混合型证券投资基金(LOF),基金简称,中欧新趋势混合C
基金代码,005787（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2007年01月04日,成立日期/规模,2018年03月21日 / --
资产规模,1.83亿元（截止至：2025年06月30日）份额规模1.662亿份（截止至：2025年06月30日）,份额规模,1.662亿份（截止至：2025年06月30日）
基金管理人,中欧基金,基金托管人,兴业银行
基金经理人,周蔚文,成立来分红,每份累计0.60元（4次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.80%（每年）,最高认购费率,---（前端）
最高申购费率,0.00%（前端）,最高赎回费率,1.50%（前端）
业绩比较基准,富时中国A600指数*80%+富时中国国债全价指数*20%,跟踪标的,该基金无跟踪标的
