基金全称,国联安智能制造混合型证券投资基金,基金简称,国联安智能制造混合A
基金代码,006863（前端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2019年03月18日,成立日期/规模,2019年04月25日 / 3.237亿份
资产规模,0.10亿元（截止至：2025年06月30日）份额规模0.0739亿份（截止至：2025年06月30日）,份额规模,0.0739亿份（截止至：2025年06月30日）
基金管理人,国联安基金,基金托管人,民生银行
基金经理人,高诗,成立来分红,每份累计0.04元（1次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）天天基金优惠费率：0.12%（前端）
业绩比较基准,申银万国制造业指数收益率*75%+上证国债指数收益率*25%,跟踪标的,该基金无跟踪标的
