基金全称,鹏华中证1000指数增强型证券投资基金,基金简称,鹏华中证1000指数增强A
基金代码,016785（前端）基金类型指数型-股票,基金类型,指数型-股票
发行日期,2022年12月01日,成立日期/规模,2022年12月26日 / 2.085亿份
资产规模,1.89亿元（截止至：2025年06月30日）份额规模1.4982亿份（截止至：2025年06月30日）,份额规模,1.4982亿份（截止至：2025年06月30日）
基金管理人,鹏华基金,基金托管人,招商银行
基金经理人,苏俊杰、时赟超,成立来分红,每份累计0.00元（0次）
管理费率,0.80%（每年）,托管费率,0.15%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.00%（前端）
业绩比较基准,中证1000指数收益率*95%+银行活期存款利率(税后)*5%,跟踪标的,中证1000指数
