基金全称,富国通胀通缩主题轮动混合型证券投资基金,基金简称,富国通胀通缩主题轮动混合A
基金代码,100039（前端）、000155（后端）基金类型混合型-偏股,基金类型,混合型-偏股
发行日期,2010年04月08日,成立日期/规模,2010年05月12日 / 14.862亿份
资产规模,4.15亿元（截止至：2025年06月30日）份额规模1.0072亿份（截止至：2025年06月30日）,份额规模,1.0072亿份（截止至：2025年06月30日）
基金管理人,富国基金,基金托管人,工商银行
基金经理人,曹晋,成立来分红,每份累计0.05元（2次）
管理费率,1.20%（每年）,托管费率,0.20%（每年）
销售服务费率,0.00%（每年）,最高认购费率,1.20%（前端）
业绩比较基准,沪深300指数收益率×80%+中债综合指数收益率×20%,跟踪标的,该基金无跟踪标的
